ID,Timestamp,bat_volt(V),bat_cur(mA),bat_power(%)
1,20:40:25,15.22,77.2,78
2,20:40:25,15.22,77.2,79
3,20:40:25,15.22,77.2,80
4,20:40:25,15.22,77.2,81
5,20:40:25,15.22,77.2,82
6,20:40:25,15.22,77.2,78
7,20:40:25,15.22,77.2,79
8,20:40:25,15.22,77.2,80
9,20:40:25,15.22,77.2,81
10,20:40:25,15.22,77.2,82
11,20:40:25,15.22,77.2,78
12,20:40:25,15.22,77.2,79
13,20:40:25,15.22,77.2,80
14,20:40:25,15.22,77.2,81
15,20:40:25,15.22,77.2,82
16,20:40:25,15.22,77.2,78
17,20:40:25,15.22,77.2,79
18,20:40:25,15.22,77.2,80
19,20:40:25,15.22,77.2,81
20,20:40:25,15.22,77.2,82
21,20:40:25,15.22,77.2,78
22,20:40:25,15.22,77.2,79
23,20:40:25,15.22,77.2,80
24,20:40:25,15.22,77.2,81
25,20:40:25,15.22,77.2,82
26,20:40:25,15.22,77.2,78
27,20:40:25,15.22,77.2,79
28,20:40:25,15.22,77.2,80
29,20:40:25,15.22,77.2,81
30,20:40:25,15.22,77.2,82
31,20:40:25,15.22,77.2,78
32,20:40:25,15.22,77.2,79
33,20:40:25,15.22,77.2,80
34,20:40:25,15.22,77.2,81
35,20:40:25,15.22,77.2,82
36,20:40:25,15.22,77.2,78
37,20:40:25,15.22,77.2,79
38,20:40:25,15.22,77.2,80
39,20:40:25,15.22,77.2,81
40,20:40:25,15.22,77.2,82
41,20:40:25,15.22,77.2,78
42,20:40:25,15.22,77.2,79
43,20:40:25,15.22,77.2,80
44,20:40:25,15.22,77.2,81
45,20:40:25,15.22,77.2,82
46,20:40:25,15.22,77.2,78
47,20:40:25,15.22,77.2,79
48,20:40:25,15.22,77.2,80
49,20:40:25,15.22,77.2,81
50,20:40:25,15.22,77.2,82
51,20:40:25,15.22,77.2,78
52,20:40:25,15.22,77.2,79
53,20:40:25,15.22,77.2,80
54,20:40:25,15.22,77.2,81
55,20:40:25,15.22,77.2,82
56,20:40:25,15.22,77.2,78
57,20:40:25,15.22,77.2,79
58,20:40:25,15.22,77.2,80
59,20:40:25,15.22,77.2,81
60,20:40:25,15.22,77.2,82
