time:14:12:56,lat:24.433,lon:121.433,vol:15.32,amp:7.82,per:89.5time:14:12:59,lat:24.533,lon:121.533,vol:15.42,amp:7.92,per:89.0time:14:13:04,lat:24.633,lon:121.633,vol:15.52,amp:8.02,per:88.5time:14:13:09,lat:24.733,lon:121.733,vol:15.62,amp:8.12,per:88.0time:14:13:14,lat:24.833,lon:121.833,vol:15.72,amp:8.22,per:87.5time:14:13:19,lat:24.933,lon:121.933,vol:15.82,amp:8.32,per:87.0time:14:13:24,lat:25.033,lon:122.033,vol:15.92,amp:8.42,per:86.5time:14:13:29,lat:25.133,lon:122.133,vol:16.02,amp:8.52,per:86.0time:14:13:34,lat:25.233,lon:122.233,vol:16.12,amp:8.62,per:85.5time:14:13:39,lat:25.333,lon:122.333,vol:16.22,amp:8.72,per:85.0time:14:13:44,lat:25.433,lon:122.433,vol:16.32,amp:8.82,per:84.5time:14:13:49,lat:25.533,lon:122.533,vol:16.42,amp:8.92,per:84.0time:14:13:54,lat:25.633,lon:122.633,vol:16.52,amp:9.02,per:83.5time:14:13:59,lat:25.733,lon:122.733,vol:16.62,amp:9.12,per:83.0time:14:14:04,lat:25.833,lon:122.833,vol:16.72,amp:9.22,per:82.5time:14:14:09,lat:25.933,lon:122.933,vol:16.82,amp:9.32,per:82.0time:14:14:14,lat:26.033,lon:123.033,vol:16.92,amp:9.42,per:81.5time:14:14:19,lat:26.133,lon:123.133,vol:17.02,amp:9.52,per:81.0time:14:14:24,lat:26.233,lon:123.233,vol:17.12,amp:9.62,per:80.5time:14:14:29,lat:26.333,lon:123.333,vol:17.22,amp:9.72,per:80.0time:14:14:34,lat:26.433,lon:123.433,vol:17.32,amp:9.82,per:79.5time:14:14:39,lat:26.533,lon:123.533,vol:17.42,amp:9.92,per:79.0time:14:14:44,lat:26.633,lon:123.633,vol:17.52,amp:10.02,per:78.5time:14:14:49,lat:26.733,lon:123.733,vol:17.62,amp:10.12,per:78.0time:14:14:54,lat:26.833,lon:123.833,vol:17.72,amp:10.22,per:77.5time:14:14:59,lat:26.933,lon:123.933,vol:17.82,amp:10.32,per:77.0time:14:15:04,lat:27.033,lon:124.033,vol:17.92,amp:10.42,per:76.5time:14:15:09,lat:27.133,lon:124.133,vol:18.02,amp:10.52,per:76.0time:14:15:14,lat:27.233,lon:124.233,vol:18.12,amp:10.62,per:75.5time:14:15:19,lat:27.333,lon:124.333,vol:18.22,amp:10.72,per:75.0time:14:15:24,lat:27.433,lon:124.433,vol:18.32,amp:10.82,per:74.5time:14:15:29,lat:27.533,lon:124.533,vol:18.42,amp:10.92,per:74.0time:14:15:34,lat:27.633,lon:124.633,vol:18.52,amp:11.02,per:73.5time:14:15:39,lat:27.733,lon:124.733,vol:18.62,amp:11.12,per:73.0time:14:15:44,lat:27.833,lon:124.833,vol:18.72,amp:11.22,per:72.5time:14:15:49,lat:27.933,lon:124.933,vol:18.82,amp:11.32,per:72.0time:14:15:54,lat:28.033,lon:125.033,vol:18.92,amp:11.42,per:71.5time:14:15:59,lat:28.133,lon:125.133,vol:19.02,amp:11.52,per:71.0time:14:16:04,lat:28.233,lon:125.233,vol:19.12,amp:11.62,per:70.5time:14:16:09,lat:28.333,lon:125.333,vol:19.22,amp:11.72,per:70.0time:14:16:14,lat:28.433,lon:125.433,vol:19.32,amp:11.82,per:69.5time:14:16:19,lat:28.533,lon:125.533,vol:19.42,amp:11.92,per:69.0time:14:16:24,lat:28.633,lon:125.633,vol:19.52,amp:12.02,per:68.5time:14:16:29,lat:28.733,lon:125.733,vol:19.62,amp:12.12,per:68.0time:14:16:34,lat:28.833,lon:125.833,vol:19.72,amp:12.22,per:67.5time:14:16:39,lat:28.933,lon:125.933,vol:19.82,amp:12.32,per:67.0time:14:16:44,lat:29.033,lon:126.033,vol:19.92,amp:12.42,per:66.5time:14:16:49,lat:29.133,lon:126.133,vol:20.02,amp:12.52,per:66.0time:14:16:54,lat:29.233,lon:126.233,vol:20.12,amp:12.62,per:65.5time:14:17:11,lat:24.433,lon:121.433,vol:15.32,amp:7.82,per:89.5/ntime:14:17:14,lat:24.533,lon:121.533,vol:15.42,amp:7.92,per:89.0/ntime:14:17:19,lat:24.633,lon:121.633,vol:15.52,amp:8.02,per:88.5/ntime:14:17:49,lat:24.433,lon:121.433,vol:15.32,amp:7.82,per:89.5
time:14:17:53,lat:24.533,lon:121.533,vol:15.42,amp:7.92,per:89.0
time:14:17:58,lat:24.633,lon:121.633,vol:15.52,amp:8.02,per:88.5
time:14:18:03,lat:24.733,lon:121.733,vol:15.62,amp:8.12,per:88.0
time:14:18:08,lat:24.833,lon:121.833,vol:15.72,amp:8.22,per:87.5
time:14:18:13,lat:24.933,lon:121.933,vol:15.82,amp:8.32,per:87.0
time:14:18:18,lat:25.033,lon:122.033,vol:15.92,amp:8.42,per:86.5
time:14:18:23,lat:25.133,lon:122.133,vol:16.02,amp:8.52,per:86.0
time:14:18:28,lat:25.233,lon:122.233,vol:16.12,amp:8.62,per:85.5
time:14:18:33,lat:25.333,lon:122.333,vol:16.22,amp:8.72,per:85.0
time:14:18:38,lat:25.433,lon:122.433,vol:16.32,amp:8.82,per:84.5
time:14:18:43,lat:25.533,lon:122.533,vol:16.42,amp:8.92,per:84.0
time:14:18:48,lat:25.633,lon:122.633,vol:16.52,amp:9.02,per:83.5
time:14:18:53,lat:25.733,lon:122.733,vol:16.62,amp:9.12,per:83.0
time:14:18:58,lat:25.833,lon:122.833,vol:16.72,amp:9.22,per:82.5
time:14:19:03,lat:25.933,lon:122.933,vol:16.82,amp:9.32,per:82.0
time:14:19:08,lat:26.033,lon:123.033,vol:16.92,amp:9.42,per:81.5
time:14:19:13,lat:26.133,lon:123.133,vol:17.02,amp:9.52,per:81.0
time:14:19:18,lat:26.233,lon:123.233,vol:17.12,amp:9.62,per:80.5
