time:14:17:50,lat:24.433,lon:121.433,vol:15.32,amp:7.82,per:89.5
time:14:17:53,lat:24.533,lon:121.533,vol:15.42,amp:7.92,per:89.0
time:14:17:58,lat:24.633,lon:121.633,vol:15.52,amp:8.02,per:88.5
time:14:18:03,lat:24.733,lon:121.733,vol:15.62,amp:8.12,per:88.0
time:14:18:08,lat:24.833,lon:121.833,vol:15.72,amp:8.22,per:87.5
time:14:18:13,lat:24.933,lon:121.933,vol:15.82,amp:8.32,per:87.0
time:14:18:18,lat:25.033,lon:122.033,vol:15.92,amp:8.42,per:86.5
time:14:18:23,lat:25.133,lon:122.133,vol:16.02,amp:8.52,per:86.0
time:14:18:28,lat:25.233,lon:122.233,vol:16.12,amp:8.62,per:85.5
time:14:18:33,lat:25.333,lon:122.333,vol:16.22,amp:8.72,per:85.0
time:14:18:38,lat:25.433,lon:122.433,vol:16.32,amp:8.82,per:84.5
time:14:18:43,lat:25.533,lon:122.533,vol:16.42,amp:8.92,per:84.0
time:14:18:48,lat:25.633,lon:122.633,vol:16.52,amp:9.02,per:83.5
time:14:18:53,lat:25.733,lon:122.733,vol:16.62,amp:9.12,per:83.0
time:14:18:58,lat:25.833,lon:122.833,vol:16.72,amp:9.22,per:82.5
time:14:19:03,lat:25.933,lon:122.933,vol:16.82,amp:9.32,per:82.0
time:14:19:08,lat:26.033,lon:123.033,vol:16.92,amp:9.42,per:81.5
time:14:19:13,lat:26.133,lon:123.133,vol:17.02,amp:9.52,per:81.0
time:14:19:18,lat:26.233,lon:123.233,vol:17.12,amp:9.62,per:80.5
