time:14:12:57,lat:24.433,lon:121.433,vol:15.32,amp:7.82,per:89.5time:14:13:00,lat:24.533,lon:121.533,vol:15.42,amp:7.92,per:89.0time:14:13:05,lat:24.633,lon:121.633,vol:15.52,amp:8.02,per:88.5time:14:13:10,lat:24.733,lon:121.733,vol:15.62,amp:8.12,per:88.0time:14:13:15,lat:24.833,lon:121.833,vol:15.72,amp:8.22,per:87.5time:14:13:20,lat:24.933,lon:121.933,vol:15.82,amp:8.32,per:87.0time:14:13:25,lat:25.033,lon:122.033,vol:15.92,amp:8.42,per:86.5time:14:13:30,lat:25.133,lon:122.133,vol:16.02,amp:8.52,per:86.0time:14:13:35,lat:25.233,lon:122.233,vol:16.12,amp:8.62,per:85.5time:14:13:40,lat:25.333,lon:122.333,vol:16.22,amp:8.72,per:85.0time:14:13:45,lat:25.433,lon:122.433,vol:16.32,amp:8.82,per:84.5time:14:13:50,lat:25.533,lon:122.533,vol:16.42,amp:8.92,per:84.0time:14:13:55,lat:25.633,lon:122.633,vol:16.52,amp:9.02,per:83.5time:14:14:00,lat:25.733,lon:122.733,vol:16.62,amp:9.12,per:83.0time:14:14:05,lat:25.833,lon:122.833,vol:16.72,amp:9.22,per:82.5time:14:14:10,lat:25.933,lon:122.933,vol:16.82,amp:9.32,per:82.0time:14:14:15,lat:26.033,lon:123.033,vol:16.92,amp:9.42,per:81.5time:14:14:20,lat:26.133,lon:123.133,vol:17.02,amp:9.52,per:81.0time:14:14:25,lat:26.233,lon:123.233,vol:17.12,amp:9.62,per:80.5time:14:14:30,lat:26.333,lon:123.333,vol:17.22,amp:9.72,per:80.0time:14:14:35,lat:26.433,lon:123.433,vol:17.32,amp:9.82,per:79.5time:14:14:40,lat:26.533,lon:123.533,vol:17.42,amp:9.92,per:79.0time:14:14:45,lat:26.633,lon:123.633,vol:17.52,amp:10.02,per:78.5time:14:14:50,lat:26.733,lon:123.733,vol:17.62,amp:10.12,per:78.0time:14:14:55,lat:26.833,lon:123.833,vol:17.72,amp:10.22,per:77.5time:14:15:00,lat:26.933,lon:123.933,vol:17.82,amp:10.32,per:77.0time:14:15:05,lat:27.033,lon:124.033,vol:17.92,amp:10.42,per:76.5time:14:15:10,lat:27.133,lon:124.133,vol:18.02,amp:10.52,per:76.0time:14:15:15,lat:27.233,lon:124.233,vol:18.12,amp:10.62,per:75.5time:14:15:20,lat:27.333,lon:124.333,vol:18.22,amp:10.72,per:75.0time:14:15:25,lat:27.433,lon:124.433,vol:18.32,amp:10.82,per:74.5time:14:15:30,lat:27.533,lon:124.533,vol:18.42,amp:10.92,per:74.0time:14:15:35,lat:27.633,lon:124.633,vol:18.52,amp:11.02,per:73.5time:14:17:12,lat:24.433,lon:121.433,vol:15.32,amp:7.82,per:89.5/ntime:14:17:15,lat:24.533,lon:121.533,vol:15.42,amp:7.92,per:89.0/ntime:14:17:20,lat:24.633,lon:121.633,vol:15.52,amp:8.02,per:88.5/ntime:14:17:50,lat:24.433,lon:121.433,vol:15.32,amp:7.82,per:89.5
time:14:17:53,lat:24.533,lon:121.533,vol:15.42,amp:7.92,per:89.0
time:14:17:58,lat:24.633,lon:121.633,vol:15.52,amp:8.02,per:88.5
time:14:18:03,lat:24.733,lon:121.733,vol:15.62,amp:8.12,per:88.0
time:14:18:08,lat:24.833,lon:121.833,vol:15.72,amp:8.22,per:87.5
time:14:18:13,lat:24.933,lon:121.933,vol:15.82,amp:8.32,per:87.0
time:14:18:18,lat:25.033,lon:122.033,vol:15.92,amp:8.42,per:86.5
time:14:18:23,lat:25.133,lon:122.133,vol:16.02,amp:8.52,per:86.0
time:14:18:28,lat:25.233,lon:122.233,vol:16.12,amp:8.62,per:85.5
time:14:18:33,lat:25.333,lon:122.333,vol:16.22,amp:8.72,per:85.0
time:14:18:38,lat:25.433,lon:122.433,vol:16.32,amp:8.82,per:84.5
time:14:18:43,lat:25.533,lon:122.533,vol:16.42,amp:8.92,per:84.0
time:14:18:48,lat:25.633,lon:122.633,vol:16.52,amp:9.02,per:83.5
time:14:18:53,lat:25.733,lon:122.733,vol:16.62,amp:9.12,per:83.0
time:14:18:58,lat:25.833,lon:122.833,vol:16.72,amp:9.22,per:82.5
time:14:19:03,lat:25.933,lon:122.933,vol:16.82,amp:9.32,per:82.0
time:14:19:08,lat:26.033,lon:123.033,vol:16.92,amp:9.42,per:81.5
time:14:19:13,lat:26.133,lon:123.133,vol:17.02,amp:9.52,per:81.0
time:14:19:18,lat:26.233,lon:123.233,vol:17.12,amp:9.62,per:80.5
